Id : StandAnim - walkAnim - rotate180Animation - rotate90LeftAnimation - rotate90RightAnimation 
0 : 2904 : 189 : 65535 : 65535 : 65535
1 : 6010 : 6011 : 65535 : 65535 : 65535
2 : 1506 : 1505 : 65535 : 65535 : 65535
3 : 1506 : 1505 : 65535 : 65535 : 65535
4 : 1506 : 1505 : 65535 : 65535 : 65535
5 : 1506 : 1505 : 65535 : 65535 : 65535
6 : 1506 : 1505 : 65535 : 65535 : 65535
7 : 1506 : 1505 : 65535 : 65535 : 65535
8 : 1527 : 1526 : 65535 : 65535 : 65535
9 : -1 : -1 : -1 : -1 : -1
10 : 1539 : 1539 : 65535 : 65535 : 65535
11 : 1527 : 1526 : 65535 : 65535 : 65535
12 : 195 : 189 : 65535 : 65535 : 65535
13 : 808 : 819 : 820 : 822 : 821
14 : 195 : 189 : 65535 : 65535 : 65535
15 : 195 : 189 : 65535 : 65535 : 65535
16 : 195 : 189 : 65535 : 65535 : 65535
17 : 808 : 819 : 820 : 822 : 821
18 : 808 : 819 : 820 : 822 : 821
19 : 808 : 819 : 820 : 822 : 821
20 : 1144 : 219 : 65535 : 65535 : 65535
22 : 808 : 819 : 820 : 822 : 821
23 : 222 : 219 : 65535 : 65535 : 65535
26 : 5565 : 5566 : 5790 : 5789 : 5788
27 : 5565 : 5566 : 5790 : 5789 : 5788
28 : 5565 : 5566 : 5790 : 5789 : 5788
29 : 5565 : 5566 : 5790 : 5789 : 5788
30 : 5565 : 5566 : 5790 : 5789 : 5788
31 : 5565 : 5566 : 5790 : 5789 : 5788
32 : 5565 : 5566 : 5790 : 5789 : 5788
33 : 5565 : 5566 : 5790 : 5789 : 5788
34 : 5565 : 5566 : 5790 : 5789 : 5788
35 : 5565 : 5566 : 5790 : 5789 : 5788
36 : 5565 : 5566 : 5790 : 5789 : 5788
37 : 5565 : 5566 : 5790 : 5789 : 5788
38 : 5565 : 5566 : 5790 : 5789 : 5788
39 : 5565 : 5566 : 5790 : 5789 : 5788
40 : 5565 : 5566 : 5790 : 5789 : 5788
41 : 5565 : 5566 : 5790 : 5789 : 5788
42 : 5576 : 5577 : 5793 : 5791 : 5792
43 : 5565 : 5566 : 5790 : 5789 : 5788
44 : 5572 : 5570 : 5790 : 5789 : 5788
45 : 5565 : 5566 : 5790 : 5789 : 5788
46 : 5565 : 5566 : 5790 : 5789 : 5788
47 : 5565 : 5566 : 5790 : 5789 : 5788
48 : 5565 : 5566 : 5790 : 5789 : 5788
49 : 5572 : 5570 : 5790 : 5789 : 5788
50 : 5572 : 5570 : 5790 : 5789 : 5788
51 : 5576 : 5577 : 5793 : 5791 : 5792
52 : 5572 : 5570 : 5790 : 5789 : 5788
